"","scientific_name","common_name","sum_part_raw","all_partner_names_raw","partner_names","total"
"77","Rorippa subumbellata","TAHOE YELLOW CRESS","13_13_NA","· California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service,· California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service,NA","California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation, California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners's Association, Tahoe Regional Planning Agency, USFWS, USFS",13
"78","Castilleja elongata","TALL PAINTBRUSH","NA_NA_NA","NA,NA,NA",NA,NA
"79","Delphinium variegatum thornei","THORNEÕS ROYAL LARKSPUR","NA_NA_NA","NA,NA,NA",NA,NA
"80","Calochortus umpquaensis","UMPQUA MARIPOSA LILY","3_NA_NA","USDA, USDI BLM and USFWS 1995,NA,NA","USDA, USFWS, BLM",3
"81","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","4+_NA_NA","USFWS – Montana Ecological Services Office, USFWS – Bozeman Fish Technology Center, Montana Fish Wildlife & Parks, Montana State University (bottom paragraph of page 8 indicates that there could be additional collaboration),NA,NA","USFWS,  Montana State University,  Montana Fish Wildlife and Parks",3
"82","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","2+_5_NA","The Foster Creek Conservation District (FCCD), in cooperation with the South Douglas Conservation District and involving agricultural landowners and other stakeholders, began developing a Habitat Conservation Plan (HCP) for agricultural activities in Douglas County in 1999.,Threemile Canyon Farms The Nature Conservancy Portland General Electric U.S. Fish and Wildlife Service Oregon Department of Fish and Wildlife,NA","Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy, Portland General Electric, USFWS, Washington State Department of Fish and Wildlife, NRCS, Farm Service Agency, Washington State Department of Natural Resources, BLM",10
"83","Polemonium pectinatum","WASHINGTON JACOB'S-LADDER","NA_NA_NA","NA,wrong year..,NA",NA,NA
"84","Nysius wekiuicola","WEKIU BUG","1_NA_NA","University of Hawaiÿi,NA,NA","University of Hawaii",1
"85","Delphinium viridescens","WENATCHEE LARKSPUR","NA_NA_NA","NA,NA,NA",NA,NA
"86","Sonorella macrophallus","WET CANYON TALUSSNAIL","3_NA_NA","USDA Forest Service Coronado National Forest Safford Ranger District / U. S. Fish and Wildlife Service Arizona Ecological Services Field Office / Arizona Game and Fish Department Nongame and Endangered Wildlife Program,NA,NA","USFS,  USFWS,  Arizona Game and Fish Department",3
"87","Penstemon scariosus albifluvis","WHITE RIVER BEARDTONGUE","6_NA_NA","Uintah County, Utah, Rio Blanco County, Colorado, the Utah School and Institutional Trust Lands Administration, the Utah Governor’s Public Lands Policy Coordination Office, the Utah Division of Wildlife Resources, and the BLM in Utah and Colorado, FWS,NA,NA","Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS",7
"88","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","4_NA_NA","U.S.D.A. Forest Service, Fishlake National Forest U.S.D.O.I. Bureau of Land Management, Utah State Office U.S.D.O.I. National Park Service, Capitol Reef National Park U.S.D.O.I. Fish and Wildlife Service, Utah Field Office,NA,NA","USFS, NPS,  Utah State Office, USFWS, BLM",5
"89","Synthliboramphus hypoleucus","XANTUS'S MURRELET","NA_NA_NA","NA,NA,NA",NA,NA
"90","Solidago plumosa","YADKIN RIVER GOLDENROD","2 partners +1 collaborator_NA_NA","Parties: Alcoa Power Generating Inc, USFWS / Cooperators: North Carolina Plant Conservation Program (“NCPCP”),NA,NA","Alcoa Power Generating Inc, USFWS",2
