Scientific name,Common name,Conservation Plan_1,Conservation Plan_2,Conservation Plan_3,"PROGRAMS, JULIE NOTES (if conflicting with FWS program)",notes_contribute_Julie,notes_all,number of conservation agreements,total number of partners for spcies,type of agreements (source of information),Who the partners are,,,,Partners present?_CP1,notes_CP1,Partner identity CP1,partner activities CP1,CP1_docs,notes_CP2,Partners present? CP2,Partner identity _CP2 ,partner activities_CP2,CP2_docs,notes_CP3,Partners present? CP33,Partner identity _CP3,partner activities_CP3,CP3_docs
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,,,,,,,2,53+,"Lower Colorado River Multi-Species Conservation Plan, AZ CCA",***see doc,,,,10,AZ CCA,"Anza-Borrego State Park, Arizona Game and Fish, California Department of Fish and Game, California State Parks, Ocotillo Wells, U.S. Bureau of Land Management, El Centro, U.S. Bureau of Land Management, Palm Springs, U.S. Bureau of Land Management- Yuma, U.S. Bureau of Reclamation – Yuma, U.S. Fish and Wildlife Service- Carlsbad, U.S. Fish and Wildlife Service- Phoenix, U.S. Marine Corps Air Station- Yuma, U.S. Naval Air Facility- El Centro, U.S. Navy SW Division- San Diego (have left area specific parts of agencies for BLM and FWS offices in text)",Not super participant based; general planning starts from page 26 onwards,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf,Lower Colorado River Multi-Species Conservation Plan,43+,"(have left out dublicates in this list) - The Arizona Department of Water Resources, Arizona Electric Power Cooperative Inc., Arizona Game and Fish Commission, Arizona Power Authority, Central Arizona Water Conservation District, Cibola Valley Irrigation and Drainage District, City of Bullhead City, City of Lake Havasu City, City of Mesa, City of Somerton, City of Yuma, Electrical District No. 3 Pinal County Arizona, Golden Shores Water Conservation District, Mohave County Water Authority, Mohave Valley Irrigation and Drainage District, Mohave Water Conservation District, North Gila Valley Irrigation and Drainage District, Salt River Project Agricultural Improvement and Power District, Town of Fredonia, Town of Thatcher, Town of Wickenburg, Unit “B” Irrigation and Drainage District, Wellton-Mohawk Irrigation and Drainage District, Yuma County Water Users’ Association; Yuma Irrigation District, Yuma Mesa Irrigation and Drainage District, The City of Needles, the Coachella Valley Water District, the Colorado River Board of California, the Imperial Irrigation District, the Los Angeles Department of Water and Power, the Palo Verde Irrigation District, the San Diego County Water Authority, the Southern California Edison Company, the Southern California Public Power Authority, the Bard Water District, The Metropolitan Water District of Southern California, National Park Service (NPS), the Bureau of Indian Affairs, the Western Area Power Administration (Western), The Colorado River Commission of Nevada, the Nevada Department of Wildlife, Basic Water Company, and the Southern Nevada Water Authority",not specified,https://www.lcrmscp.gov/publications/imp_agr_apr05.pdf,San Diego East County Multiple Species Conservation Plan,??,,,https://www.sandiegocounty.gov/pds/mscp/
Ursus americanus floridanus,FLORIDA BLACK BEAR,,,,,,,1,1,USDA Forest Service Land and Resource Management Plan (Plan) for National Forests in Florida,USFS,,,,::: question of relavance and slightly out of date ,"The USDA Forest Service Land and Resource Management Plan (Plan) for National Forests in Florida, covering lands which make up most core bear conservation lands, is expected to be compatible with the continued maintenance of bears at current levels (U.S. Forest Service 1998)",,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fsbdev3_007281.pdf, ,,,,,,,,,
Boechera pusilla,FREMONT COUNTY ROCK CRESS,,,,,,,1,2,Report,Bureau of Land Management (BLM) and the Wyoming Natural Diversity Database (WYNDD),,,,, ,,,,,,,,,,,,,
Dalea tentaculoides,GENTRY'S INDIGOBUSH,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Symphyotrichum georgianum,GEORGIA ASTER,,,,,,,1,9,CCA,"U.S. Fish and Wildlife Service; Clemson University; Georgia Department of Natural Resources; Georgia Department of Transportation; Georgia Power; Mecklenburg County Park and Recreation, North Carolina National; Park Service North Carolina Department of Agriculture & Consumer Services– Plant Conservation Program; U.S. Forest Service /// Cooperators to the Agreement: · Alabama, Georgia, North Carolina and South Carolina Natural Heritage Programs · Atlanta Botanical Garden · North Carolina Botanical Garden · State Botanical Garden of Georgia · The Citadel · The Nature Conservancy · Army Corps of Engineers",,,,9,CCA,"U.S. Fish and Wildlife Service; Clemson University; Georgia Department of Natural Resources; Georgia Department of Transportation; Georgia Power; Mecklenburg County Park and Recreation, North Carolina National; Park Service North Carolina Department of Agriculture & Consumer Services– Plant Conservation Program; U.S. Forest Service /// Cooperators to the Agreement: · Alabama, Georgia, North Carolina and South Carolina Natural Heritage Programs · Atlanta Botanical Garden · North Carolina Botanical Garden · State Botanical Garden of Georgia · The Citadel · The Nature Conservancy · Army Corps of Engineers","VI. Conservation Efforts Many public and private landowners have been working to manage Georgia aster, and improvements are continually being made in population size and vigor. A few examples of work to conserve the Georgia aster by Parties to the Agreement and other landowners are highlighted below. Georgia Department of Natural Resources Oaky Woods Wildlife Management Area in Georgia has used prescribed fires to help manage for this species. Georgia aster (one patch with five flowering-stems) was discovered on the largest prairie remnant in October 2006. Regular winter and early growing season burns every 1 to 3 years on the Georgia aster prairie since 2007 greatly enhanced the prairie. In 2012 the small patch had increased to more than 80 flowering stems in a 30 by 10 m area and several new patches have now been found on other parts of the prairie habitat (Tom Patrick, GA DNR, pers. comm. 2013). National Park Service The Chattahoochee River National Recreation Area in Georgia annually monitors the populations that grow in the park. In coordination with GDOT, plants were rescued from a road-widening site within the park in 2012 and planted near a parking lot which is maintained via weed-trimming in winter months. This site now has 256 stems showing good viability (Read and Pierson 2012). State Departments of Transportation In Georgia, North Carolina and South Carolina, populations have been relocated in advance of road improvement activities that would have destroyed or modified Georgia aster habitat. U.S. Fish and Wildlife Service and Cooperators In order to answer questions that would help determine if Georgia aster is warranted for listing, in September 2010, the USFS and USFWS allocated funds toward a rangewide assessment of seed viability and population genetic structure in Georgia aster. This project involved collaborators from the Atlanta Botanical Garden, the North Carolina Botanical Garden, the State Botanical Garden of Georgia, and The Citadel. The projects were completed in early 2013. They provided information on the levels of genetic diversity within populations while also examining correlations between population size and genetic diversity and seed production. Research results are discussed in the Habitat/Life History section below. This work helped with the formation of the CCA conservation strategy. U.S. Forest Service The USFS has been thinning woody vegetation, using prescribed burns and non-native invasive species treatments to manage for Georgia aster on national forest land. This management work has aided many populations on the Chattahoochee National Forest in Georgia. As of 2013, about 5000 stems of Georgia aster from 9 populations grow on the Chattahoochee National Forest. The Chattahoochee National Forest is also working with partners on propagation and out-planting (Joanne Baggs, USFS, pers. comm. 2013). The Talladega National Forest contains Alabama’s largest population (~4000 individuals). In 2008, the Talladega National Forest thinned longleaf pine stands to savannah conditions specifically to aid the Georgia aster population. The Talladega National Forest is partnering with Auburn University to grow and plant ~2000 Georgia aster seedlings (Gary Shurette, USFS, pers. comm. 2013). The Uwharrie National Forest in North Carolina reduced the basal area of an oak-hickory forest adjacent to a Georgia aster population from 100 ft2 to less than 40 ft2 in 2002. This area was burned in 2003 with the fireline constructed next to the original Georgia aster population of 60 stems which grew along a fenceline. This population expanded into the fireline by 2004 and stem counts in 2010 and 2011 indicated a 25-fold increase from 1998 counts (Gary Kauffman, USFS, pers. comm. 2013). Over 7000 individuals of Georgia aster from twelve populations grow on the Sumter National Forest in South Carolina. Sumter National Forest is working with propagation, out-planting and using prescribed-fire and woody vegetation thinning to increase Georgia aster population size where it grows on the forest (Robin Mackie, USFS, pers. comm. 2013).",https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1209.pdf,,,,,,,,,,
Astragalus anserinus,GOOSE CREEK MILKVETCH,,,,,,,1,2,CA,BLM and FWS,,,,2,Conservation agreement,BLM and FWS,See pages 23-30,https://www.fws.gov/utahfieldoffice/Documents/Goosecreek_milkvetch/latestnewswebpageforgoosecreekmilkvetch/Goose%20Creek%20milkvetch%20Conservation%20Agreement.pdf,,,,,,,,,,
Penstemon grahamii,GRAHAM BEARDTONGUE,,,,,,,1,6,CCA,"Uintah County, Utah, Rio Blanco County, Colorado, the Utah School and Institutional Trust Lands Administration, the Utah Governor’s Public Lands Policy Coordination Office, the Utah Division of Wildlife Resources, and the BLM in Utah and Colorado, FWS",,,,6,,"Uintah County, Utah, Rio Blanco County, Colorado, the Utah School and Institutional Trust Lands Administration, the Utah Governor’s Public Lands Policy Coordination Office, the Utah Division of Wildlife Resources, and the BLM in Utah and Colorado, FWS",page 35-37,https://trustlands.utah.gov/wp-content/uploads/2016/04/Penstemon-Conservation-Agreement_2014Jul22_final-signed-3.pdf,,,,,,,,,,
Pseudanophthalmus pholeter,GREATER ADAMS CAVE BEETLE,,,,,,,1,2,CCAA,Southern conservation corporation and USFWS,,,,2,CCAA,Southern conservation corporation and USFWS,"Listed under part 4 - ""Through the CCAA, SCC committed to implement three conservation efforts specifically designed to further address the primary threats to the species: (1) SCC will maintain the Adams Cave property in a natural state by implementing provisions that ensure an adequate, natural energy flow into the cave is maintained and that development impacts and the probability of a contaminants spill that might impact the cave habitat are minimized; (2) SCC will maintain the metal gate at the entrance to Adams Cave; and (3) SCC will control/limit access to Adams Cave. Additional information regarding the details of these three efforts is provided in the species assessment and in the CCAA."" - c&p from federal listings doc. ",https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf,,,,,,,,,,
Centrocercus urophasianus,GREATER SAGE-GROUSE - BI-STATE POPULATION,HCP,CCA,assuran,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Centrocercus urophasianus,GREATER SAGE-GROUSE - Columbia basin DPS,CCA,assuran,HCP,,also WLFW,,0,0,None,N/A,,,,,MOU,,,https://www.fs.fed.us/naturalresources/resources/mou_moa/fs_mou_sagegrouse_2008_signed.pdf,,,,,,,,,,
Centrocercus urophasianus,GREATER SAGE-GROUSE -Wherever found,CCA,assuran,HCP,,also WLFW,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Horkelia hendersonii,HENDERSON'S HORKELIA,,,,,,,1,2+,CA,"USFS, USFWS",,,,2+,note same agreement as ashland lupine,"USFS, USFWS",The USFS agrees to – manage the summit and open slopes of Mt. Ashland to protect existing populations of Mt. Ashland lupine and Hederson’s horkelia. Population levels need to be maintained to snsure that loss of a few individuals to minor disturbances will have no effect on the future viability of both Mt. Ashlan populations. // The USFS agrees to – manage habitat for Henderson’s horkelia in the Dutchman Peak/Jackson Gap/Observation Peak area in a manner that maintains the viability of this large complex of Henderson’s horkelia patches and sub-populations. Sufficient population levels need to be maintained to ensure that loss of a few individuals to minor disturbances has no effect on the future viability of the Henderson’s horkelia in this vicinity.  // The USFS agrees to – manage occupied Henderson’s horkelia habitat along the McDonald ridge and Dry Lake in a manner that is not detrimental to the Henderson’s horkelia. Population levels in these small occurrences may decline or extirpation may occur due to random events or environmental factors beyond the control of the USFS // note- there are more specific conservation activities listed in the document but I couldn’t copy and paste the text,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf,,,,,,,,,,
Cicindelidia highlandensis,HIGHLANDS TIGER BEETLE,,,,,,,0,0,None,N/A,,,,,,,,,,,,,,,,,,
Pseudanophthalmus holsingeri,HOLSINGER'S CAVE BEETLE,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Pediocactus paradinei,KAIBAB PLAINS CACTUS,,,,,,,1,3,CCA,"USFWS, USFS, BLM",,,,3, ,"USFWS, USFS, BLM",pages 5-6,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1452.pdf,,,,,,,,,,
Stygobromus kenki,KENK'S AMPHIPOD,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Iotichthys phlegethontis,LEAST CHUB,,,,,,,1,8,CCA,Utah Department of Natural Resources; United States Department of the Interior; Bureau of Land Management; Bureau of Reclamation; Utah Reclamation Mitigation and Conservation Commission; Confederated Tribes of the Goshute Reservation; Central Utah Water Conservancy District; Southern Nevada Water Authority,,,,8,,Utah Department of Natural Resources; United States Department of the Interior; Bureau of Land Management; Bureau of Reclamation; Utah Reclamation Mitigation and Conservation Commission; Confederated Tribes of the Goshute Reservation; Central Utah Water Conservancy District; Southern Nevada Water Authority,Individual organizations each have a page of commitments - see pages 8-15,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf,,,,,,,,,,
Pseudanophthalmus catorycetes,LESSER ADAMS CAVE BEETLE,,,,,,,1,2,CCA,Southern conservation corporation and USFWS,,,,2,same as greater adam's cave beetle,Southern conservation corporation and USFWS,"Listed under part 4 - ""Through the CCAA, SCC committed to implement three conservation efforts specifically designed to further address the primary threats to the species: (1) SCC will maintain the Adams Cave property in a natural state by implementing provisions that ensure an adequate, natural energy flow into the cave is maintained and that development impacts and the probability of a contaminants spill that might impact the cave habitat are minimized; (2) SCC will maintain the metal gate at the entrance to Adams Cave; and (3) SCC will control/limit access to Adams Cave. Additional information regarding the details of these three efforts is provided in the species assessment and in the CCAA."" - c&p from federal listings doc. ",https://www.fws.gov/southeast/pdf/agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf,,,,,,,,,,
Polites mardon,MARDON SKIPPER,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,,,,,,,1,8,CCA,II. INVOLVED PARTIES/SIGNATORIES TO THIS AGREEMENT,,,,8,,II. INVOLVED PARTIES/SIGNATORIES TO THIS AGREEMENT,"See tables 5, 6, 7",https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf,,,,,,,,,,
Clarkia lingulata,MERCED CLARKIA,,,,,,,1,5,MOU,"U.S. Forest Service (USFS), Bureau of Land Management, Caltrans, CDFW, and Pacific Gas and Electric",,,,,***link needs a login**,"U.S. Forest Service (USFS), Bureau of Land Management, Caltrans, CDFW, and Pacific Gas and Electric",,https://www.wildlife.ca.gov/Conservation/Plants/Endangered/Clarkia-lingulata,,,,,,,,,,
Cordylanthus nidularius,MT. DIABLO BIRDÕS-BEAK,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Ambrysus funebris,NEVARES SPRING NAUCORID BUG (=FURNACE CREEK),,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Sylvilagus transitionalis,NEW ENGLAND COTTONTAIL,,,,,,,53?,2,"CCAA, CCAA",type up… and New Hampshire Fish and Game Department and USFWS with support from edf,,,,51?,Annual performance report,see - https://newenglandcottontail.org/partners,unsure,https://newenglandcottontail.org/sites/default/files/research_documents/NEC%202014%20Performance%20Report.pdf,CCAA _NH,2? ,New Hampshire Fish and Game Department and USFWS with support from edf,,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_873.pdf,CCAA_ME,2?,Maine Department of Inland Fisheries and Wildlife and USFWS with spport from EDF,,https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf
Coccoloba rugosa,NO COMMON NAME,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Hazardia orcuttii,ORCUTTS'S HAZARDIA,,,,,,,2,8,"HCP, HCP","City of NCCP planning agreements with the USFWS, CDFG, and California Resources Agency // Prepared for: City of Carlsbad City of San Marcos U.S. Fish and Wildlife Service California Department of Fish and Game / Prepared by: Center for Natural Lands Management",,,,4,HCP_1,"City of NCCP planning agreements with the USFWS, CDFG, and California Resources Agency","Not really infromation about individuals - NCCP Program In 1991, the California NCCP Act was approved, and the NCCP CSS program was initiated in Southern California. In the initial phases of the program, process and conservation guidelines were developed, and the USFWS adopted a special rule regarding the gnatcatcher pursuant to Section 4(d) of the Federal ESA. This special rule exempts take of gnatcatchers during the interim period prior to approval of plans under the NCCP program provided it is consistent with NCCP process and conservation guidelines. In connection with the NCCP program and 4(d) rule, by informal, regional agreement, interim impacts in the San Diego region were capped at 5% of the existing habitat within each jurisdiction participating in the NCCP program (165.7 acres in the City). This limitation has been in place since 1993.",https://www.carlsbadca.gov/civicax/filebank/blobdload.aspx?BlobID=27193,HCP_2,4,Prepared for: City of Carlsbad City of San Marcos U.S. Fish and Wildlife Service California Department of Fish and Game / Prepared by: Center for Natural Lands Management,"plan indicates that different actions/responsibilities exist but doesn't say what they are in this report, could be in others: A. Management Reports Management plans outline the primary goals of preserve management, the management techniques employed, funding mechanisms and budgets, and preserve manager qualifications. Although the City of Carlsbad’s Open Space Management Plan calls for HCA specific management plans (termed “Area Specific Management Plan’s) to be completed every three (3) years, the Center cannot afford this and did not budget for this frequency at the time it received title and funds to these properties. This document will suffice as the second five year management plan and will be updated in 2010. B. Annual Reports and Work Plans Annual reports summarize all management activities undertaken in a particular year and report and discuss survey results. Work plans will outline specific projects and management activities that will be undertaken in a coming year. Both reports will include budget information, such as expenditures for the year and total remaining funds. The annual reports and work plans will be submitted to the Cities of Carlsbad and San Marcos and the wildlife agencies by December 15 of each year.",https://sdmmp.com/upload/SDMMP_Repository/0/fpht493srz5mndvgq6cbykw12j700.pdf, ,,,,
Sidalcea covillei,OWENS VALLEY CHECKERMALLOW,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Pyrgulopsis morrisoni,PAGE SPRINGSNAIL,,,,,,,1,2,CCA,"Arizona Game and Fish Department, USFWS",,,,2,,"Arizona Game and Fish Department, USFWS","By signing this agreement signatories agree to the following: The responsibilities of AGFD are: 1. Current and future activities in managing Page Springs and Bubbling Ponds fish hatcheries will not have long term negative impacts to Page springsnail populations and habitat. 2. Hatchery management activities will minimize loss of Page springsnails and impacts on their habitat, in accordance with the proposed incidental take permit, when conducting maintenance and husbandry activities. 3. Routine AGFD hatchery maintenance activities will be conducted in a manner that will not significantly affect Page springsnails or their habitat. When hatchery activities (e.g., maintenance, renovations, modifications) are conducted that will significantly affect Page springsnails and their habitat, hatchery personnel will notify the AGFD Nongame Native Fish/Invertebrate Program Manager at least 30 days in advance to allow for alternative management activities, or to determine appropriate mitigation to offset any negative affects to the species. 4. Chemicals will be applied with the best available knowledge and used in compliance with labeled usage to limit or avoid damaging habitat and known populations of Page springsnails (Table 1). 5. AGFD and USFWS have developed a survey and monitoring protocol and schedule. The monitoring data will be shared annually with all interested parties, and permanently archived in the AGFD Heritage Data Management System. 6. AGFD will immediately notify USFWS and other cooperators if significant, unnatural declines in Page springsnail populations or significant changes in habitat occur. The responsibilities of landowners participating through a certificate of inclusion will be described in the individual certificate of inclusion and may include: VII. The landowner agrees to allow USFWS and AGFD to introduce Page springsnails into sites on their property if suitable habitat exists. VIII. The landowner will allow USFWS and AGFD biologists to survey and monitor sites for the Page springsnail. IX. The landowner will coordinate with USFWS and AGFD on land modifications, land uses, and water uses that might affect Page springsnail populations, their habitat, or potential habitat. Habitat or potential habitat includes: spring heads, spring outflow areas, spring-fed ponds, and spring-fed streams. X. The landowner will notify USFWS and AGFD of any activities impacting the habitat of springsnails as soon as possible, so that cooperators can determine the most effective and efficient means of corrective measures. XI. The landowner will not spray or deposit harmful chemicals (e.g., chlorine, herbicides, fertilizers) in the areas in ways that will affect Page springsnail populations, their habitat, or potential habitat. XII. The landowner agrees not to modify potential or currently occupied Page springsnail habitat without express approval of USFWS and AGFD. XIII. The landowner will allow USFWS and AGFD to conduct salvage and repatriation of Page springsnail when springsnail habitat will be negatively affected by management activities.",https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf,,,,,,,,,,
Limnanthes gracilis parishii,PARISH'S MEADOWNFOAM,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Lithobates subaquavocalis,RAMSEY CANYON LEOPARD FROG,,,,,,,1,COUNT,Recovery Plan,COUNT,,,,unknown,Recovery plan was made by a number of subgroups and stakeholders for the USFWS,List of contacts starts on page 106,Appendix A,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/CLF/Final_CLF_Plan.pdf,,,,,,,,,,
Abronia alpina,RAMSHAW MEADOWS SAND-VERBANA,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Collomia rawsoniana,RAWSONÕS FLAMING TRUMPET,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Lithobates onca,RELICT LEOPARD FROG,,,,,,,1,2+,CCA,"USFS, Nevada Department of Wildlife + unspecified landowner(s?) ",,,,2+?,CCA - looks like it is set up to enroll landowners (through the state department),"USFS, Nevada Department of Wildlife + unspecified landowner(s?)  ::::::::::Nevada Department of Wildlife (Department) and __________________________ (Cooperator), is intended to promote good land stewardship by assisting the Cooperator in carrying out actions to benefit the relict leopard frog (Lithobates onca) on land owned or controlled by the Cooperator. Participation in this CA is a prerequisite for obtaining a Certificate of Inclusion (COI) [reference attachment to this Cooperative Agreement] from the Department issued as part of the agreement between the Department and the U.S. Fish and Wildlife Service (Service) titled, “Programmatic Candidate Conservation Agreement with Assurances for the Relict Leopard Frog in Clark County, Nevada” (Agreement). 2. ENROLLED PROPERTY The Cooperator owns or has legal controlling authority for property in Clark County, Nevada, that contains habitat that may be used by relict leopard frogs. The Department will enroll [# of acres] of this property under the Agreement, as shown on the attached property map [reference map attached to this CA]. Other species of listed or candidate plants or animals may also occur on the property, but no incidental take of these other species is authorized or permitted under this CA.","7.0 RESPONSIBILITIES OF THE PARTIES The responsibilities of a Cooperator shall be detailed in its CA. At a minimum, however, each CA will include all of the responsibilities set forth in the applicable template, Attachment B. The Parties of this Agreement will work cooperatively to further the purposes of this Agreement. Each Party is tasked with, and is accountable for, certain responsibilities as outlined below. Nothing in this Agreement shall limit the ability of the Federal and state conservation authorities to perform their lawful duties, including, but not limited to, conducting investigations as authorized by statute, regulation, and/or by court guidance and direction. Specific responsibilities of Parties to this Agreement are as follows: 7.1 The Department shall: a) Implement and administer this Agreement including: relict leopard frog monitoring, coordinating and/or assisting with habitat management efforts on the Cooperators' properties, enrolling Cooperators under this Agreement, and translocation of frogs, where appropriate. b) With the assistance of the prospective Cooperator, complete the applicable CA Form (Attachment B) and ensure that the landowner's proposed actions meet the applicable regulatory standards and goals of this Agreement, including providing an adequate quantity and quality of open water and riparian habitat, maintaining existing suggested land use practices, and continuing maintenance of the property in accordance with any other existing agreement(s) to which the prospective enrollee is a signatory. c) At least 30 days prior to enrolling a landowner under this Agreement, the Department will provide the draft CA and any associated conservation measures or habitat management plans to the Service for review and comment. The Service shall have the opportunity to review and comment on the proposed CA prior to the draft CA being forwarded to the prospective Cooperator. d) Upon receiving written concurrence from the Service, the Department shall enter into the CA with the landowner (now a Cooperator) and issue a COI and LTA to the Cooperator. The CA shall become effective and binding on the date of the last signature to the CA. The COI and LTA shall become effective only after they have been signed and dated by the Department. e) Provide to the Cooperator and the Service copies of the executed CA, COI, and LTA. f) Provide technical assistance to Cooperators, to the maximum extent practicable, when requested. g) Inform the Service of any known relict leopard frog mortalities or injuries within five working days of receiving notice from a Cooperator of such event. h) Conduct compliance and biological monitoring cooperatively with the Service, as described in Section 11 of this Agreement, and provide assistance in preparing and submitting an annual report to the Service that describes the findings of such monitoring. i) If warranted, recommend procedures the Cooperators can follow to avoid future incidental take that might have been described in past annual reports. j) Inform the Service when a Cooperator gives a 30 day notice that the Cooperator intends to carry out an activity that is likely to result in the incidental take of relict leopard frogs, so as to give the Service the opportunity to work with the Department on the relocation of any affected individuals. k) When informed by a Cooperator of an emergency situation requiring salvage or relocation of relict leopard frogs under the terms of a CA, conduct such actions if feasible, cooperatively with the Service. l) Inform the Service when a Cooperator is not in compliance with the terms and conditions of its CA and/or this Agreement and of any measures employed to remediate the noncompliance. m) Provide funding to Cooperators for the implementation of conservation actions in accordance with this Agreement and associated CAs when such funding is authorized and available. n) Provide data collected from enrolled Cooperators, surveys, and monitoring to the Service in a timely manner. 7.2 The Service shall: a) Upon execution of the Agreement and satisfaction of all other applicable legal requirements, issue a permit to the Department in accordance with ESA section 10(a)(1)(A) authorizing incidental take of the covered species as a result of lawful activities within the enrolled property. The term of the Permit will be 30 years except as otherwise provided by this Agreement. b) Provide technical assistance to the Department, to the maximum extent practicable, when requested, and provide information on Federal funding programs that the Department can provide to Cooperators. c) Ensure the Department is implementing the terms of the Agreement. d) Assist the Department with biological monitoring and management activities if assistance is requested. e) When informed by the Department of an emergency situation requiring salvage or relocation of relict leopard frogs under the terms of a CA, cooperatively assist the Department to conduct such actions if feasible. f) If warranted, recommend procedures the Department can suggest to Cooperators to avoid future take based on any take described in past annual reports. g) Assist the Department in implementing adaptive management by adjusting management actions as needed based on results from monitoring. h) Assist the Department and Cooperators in identifying and obtaining funding for the implementation of conservation actions in accordance with this Agreement and associated CAs when such funding is authorized and available. i) Review and concur on all draft CAs and provide comments to NDOW within 15 business days or less.",https://www.fws.gov/nevada/protected_species/amphibians/documents/rlf/rlf_pccaa_061015.pdf,,,,,,,,,,
Oncorhynchus clarkii virginalis,RIO GRANDE CUTTHROAT TROUT,,,,,,,2,14,"Vermejo CCAA, Agreement and Strategy for the Conservation of Rio Grande Cutthroat Trout","•Colorado Parks and Wildlife (CPW)* • New Mexico Department of Game and Fish (NMDGF)* • U.S. Forest Service (USFS)* • U.S. Fish and Wildlife Service (FWS)* • Mescalero Apache Nation* • Jicarilla Apache Nation* • Taos Pueblo* • National Park Service (NPS)* • Bureau of Land Management (BLM)* • Trout Unlimited. Where (* indicates the signatories to the 2003 and 2009 Conservation Agreements) /// Vermejo Park Ranch, New Mexico Department of Game and Fish, Colorado Division of Parks and Wildlife, and USFWS. Note – document will refer to different partners by different names through out documetn",,,,4,Vermejo CCAA ,"Vermejo Park Ranch, New Mexico Department of Game and Fish, Colorado Division of Parks and Wildlife, and USFWS. Note – document will refer to different partners by different names through out documetn",See pages 1-2,https://www.fws.gov/southwest/es/newmexico/documents/Vermejo_Park_Ranch_CCAA.pdf,Agreement and Strategy for the Conservation of Rio Grande Cutthroat Trout was signed in 2013,10,•Colorado Parks and Wildlife (CPW)* • New Mexico Department of Game and Fish (NMDGF)* • U.S. Forest Service (USFS)* • U.S. Fish and Wildlife Service (FWS)* • Mescalero Apache Nation* • Jicarilla Apache Nation* • Taos Pueblo* • National Park Service (NPS)* • Bureau of Land Management (BLM)* • Trout Unlimited. Where (* indicates the signatories to the 2003 and 2009 Conservation Agreements),See APPENDIX A. Conservation Actions Ongoing and Completed for Rio Grande Cutthroat Trout (RGCT) since 2000 by Conservation Team,https://cpw.state.co.us/Documents/Research/Aquatic/CutthroatTrout/2013RGCTConservationStrategy.pdf,,,,,
