Scientific name,Common name,agreement number ,partner in agreement,Note if plan is management area (and relevance to the species if information is present),Programatic (Y/N),type of partners,doc link,notes on actions taken (from notes tab),Don't know how to categorize action - dump text here,1. Land/Water Management,2. Species Management,3. Awareness raising,4. law enforcement and prosecution,"5. livelihood, economic and moral incentrives",6. Conservation Design and Planning,7. Legal and Policy frameworks,8. Research and monitoring,9. Education and Training,10. Institutional Development,funding ,
Phacelia stellaris,BRAND'S PHACELIA,doc 1 CCA ,US Marine Corps,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1043.pdf, ,,"Fund weed control, dune restoration, and habitat enhancement on an annual basis to treat, as needed, any plant that poses a threat to the continued success of Brand’s phacelia. Invasive species funding will targeted towards the removal of invasive nonnative forbs and invasive annual grasses and their thatch to improve habitat conditions for Brand’s phacelia.",0,0,0,0,0,0,Monitor the known Brand’s phacelia population every year for the duration of this agreement. 19. Inventory for new populations in suitable habitat areas in the lower Santa Margarita River.,0,0,0,
Phacelia stellaris,BRAND'S PHACELIA,doc 1 CCA ,US Customs and Border Protection,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1043.pdf, ,,"Provide invasive species control on an annual basis within the portion of Lichty Mesa supporting Brand’s phacelia. Invasive species which may be selected for removal include Saharan mustard, devil’s thorn, and crown daisy, smooth cat’s ear, crystalline iceplant, red brome, Pampas grass, and Mediterranean grass. Native species that are not considered part of the local native flora at this location and could be considered for removal include sealavender, California broom, saltbush, giant coreopsis, and purple needlegrass.","If the distribution of Brand’s phacelia expands beyond its current known distribution at Lichty Mesa, additional occurrences will be managed to the extent feasible, in accordance with this CCA.",0,0,0,0,0,Monitor all known Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas.,0,Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia.,0,
Phacelia stellaris,BRAND'S PHACELIA,doc 1 CCA ,California State Parks,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1043.pdf, ,,"Provide annual invasive species control within areas that support Brand’s phacelia. Invasive plant control will consist of herbicide treatment or removal of iceplant. If monitoring data or data from working group suggests that Brand’s phacelia occurrences are in decline relative to increases in a specific invasive plant species, then those species will be treated intensively. Species to consider include European searocket, Saharan mustard, Oenothera laciniata (cutleaf evening-primrose), Emex spinosa (devil’s thorn), and annual grasses that produce heavy thatch (e.g., Bromus diandrus, Lolium perenne). If new occurrences of an invasive species are identified on site by CSP or by the working group they will be treated or removed as early as possible.  //// Work with visitor service and facilities maintenance staff to minimize significant adverse effects from recreational activities and ongoing site maintenance to existing occurrences of Brand’s phacelia and to its habitat. The CSP Environmental Scientist (ES) will provide SSSB park staff with the most recent GIS layers for Brand’s phacelia. // Monitor Brand’s phacelia occupied and adjacent habitat for invasive plants. Spraying in or near populations of Brand’s phacelia will be evaluated on a site-specific and herbicidedependent basis prior to application to alleviate negative impact to the species and its potential pollinators and non-target, native vegetation. /// "," If the distribution of Brand’s phacelia expands beyond its current known distribution at NBC, additional occurrences will be managed to the extent feasible, in accordance with this CCA. /// Continue the plant propagation program. Amplify seed for supplementation of small populations or development of new populations. // ",0,0,0,0,0,"Monitor representative large and small Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas (e.g., the ocean side of Silver Strand State Beach).",Interpretive signs and public education will be provided. Fencing will be installed (either temporary or permanent) as necessary to support Brand’s phacelia conservation efforts.,"To the greatest extent feasible, provide access and support studies/scientific research specific to the biology and ecology of Brand’s phacelia at SSSB // Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia.",0,
Phacelia stellaris,BRAND'S PHACELIA,doc 1 CCA ,USFWS,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1043.pdf,no actions listed,,0,0,0,0,0,0,0,0,0,0,0,
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,doc 1 CCA,Mississippi Army National Guard,,N,S,https://www.fws.gov/mississippies/_pdf/5_CSBC_final_CCA_with_signatures.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,doc 1 CCA,USFS,,N,S,https://www.fws.gov/mississippies/_pdf/5_CSBC_final_CCA_with_signatures.pdf, ,,"Fire management: wetlands will be burned every 2 to 3 years during the growing season, beginning in 2004, weather permitting. / Restoration: slash pines will be removed from overgrown wetland areas
where there are currently low densities of CSBC",0,0,0,0,0,0,0,0,0,0,
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,doc 1 CCA,"Mississippi Department of Wildlife, Fisheries and Parks - Mississippi Museum of Natural Sciences (MMNS)",,N,S,https://www.fws.gov/mississippies/_pdf/5_CSBC_final_CCA_with_signatures.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,doc 1 CCA,USFWS,,N,S,https://www.fws.gov/mississippies/_pdf/5_CSBC_final_CCA_with_signatures.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,doc 1 CCA,"USFS, Mississippi National Guard",,N,M,https://www.fws.gov/mississippies/_pdf/5_CSBC_final_CCA_with_signatures.pdf, ,,"A 100-foot protective buffer will be posted around occupied wetlands, and vehicles*, equipment*, off-road vehicles, livestock (horses), and pesticides will be prohibited within the buffer. / No applications of herbicides will occur within occupied wetlands or
their buffers except for treatment of noxious invasive weeds (e.g.,
cogon grass) using aquatic-labeled herbicides with prior approval
by the CSBC Team (see Section XI, below) / Within 6 months of the parties’ signing of this Agreement, all existing ATV
trails through wetlands currently known to be occupied by CSBC will be
blocked and posted / Hydrology: natural hydrological flow from adjacent uplands into CSBC habitats will be maintained",0,"Within 6 months of the parties’ signing of this Agreement, all existing ATV trails through wetlands currently known to be occupied by CSBC will be blocked and posted",0,Erosion control: silviculture and military training activities in uplands draining into CSBC wetlands will employ erosion Best Management,existing erosion problems near wetlands will be repaired.,0,"surveys will be conducted by the responsible Party to determine the presence or absence of CSBC in wetland areas. If CSBC are present, the Measures identified under Section X.A.1, above, will be implemented / Upon approval of the monitoring plan, an initial burrow census will be conducted in areas known to be inhabited by CSBC. Vegetation baseline data will also be developed for each site.",0,Annual monitoring reports will be submitted to all parties by January 1 of each year.,0,
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,doc 1 CCA,"USFS, Mississippi National Guard, FWS, and Mississippi Museum of Natural Sciences",,N,M,https://www.fws.gov/mississippies/_pdf/5_CSBC_final_CCA_with_signatures.pdf, ,,0,0,"Within one year of the execution of this Agreement by the signatory parties, educational materials describing pitcher plant wetlands, and the unique presence of CSBC and other sensitive species will be developed and distributed to targeted audiences, including the National Guard, loggers, and ATV users",0,0,0,0,0,0,0,0,
Castilleja christii,CHRISTÕS PAINTBRUSH,doc 1 CCA,USFWS,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_358.pdf, ,,"Annually, agressively control ... brome infestations on the summit",Maintain an off site seed program / Ensure that seeds and plants used for seedings and plantings in revegetation projects on mount harrision originate from local sources of genetically native species,Maintain the interpretive signs and information on Mount Harrison,0,0,"road construction, maintenance and facilities",Issue and modify special use permits to ensure compliance with the Forest Plan and this Agreement,Continue to conduct inventories of potential habitat for Castilleja christii. All survey data will be submitted to the ICDC and USFWS for inclusion in their databases / monitor,"continue to meet with user groups, the public, permittees, the highway district, and interested parties to promote the education and conservation of Castilleja christii and to eliminate or reduce negative impacts to the population and habitat ",establish an oversight technical team to review... conduct annual meetings of the oversight technical team / provide an annual report on the success of implementation of this agreement,0,
Castilleja christii,CHRISTÕS PAINTBRUSH,doc 1 CCA,USFS,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_358.pdf, ,,control smooth broom invasion ,0,"Continue coordination with USFWS, permittees, interested parties and the public",0,0,Complete and implement the management plans for the Mount Harrision Reserach and Natural Area and the Botanical Special Interest Area. Ensure that the plans are compliant with the Forest Plan and this Agreement,Conduct NEPA,work with others to develop studies and research projects,0,Retain species on regional forester's sensitive species list / implment this CA.. and incorporate provsision of this agreement into agency planning documents and budgets,Retain species on regional forester's sensitive species list / implment this CA.. and incorporate provsision of this agreement into agency planning documents and budgets / partner to secure funding, 
Nerodia erythrogaster neglecta,COPPERBELLY WATER SNAKE,doc 1 website,"Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Natural Resources and Environmental Cabinet, USFWS, DOI Office of Surface MIning reclamation and Enforcement, Indiana Department of Natural Resources","Note - parties actions were categorized as public agencies, coal/ag interests in Kentucky and Illinois as well as Indiana coal counsil (3 groupings) ",N,G,https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag,Make note that putting partner names under agency grops,,"Avoid converting or degrading bottomlands or wetlands identified as known or potential copperbelly habitat, unless mitigation is carried out. / Restore and enhance known or potential copperbelly habitat on lands they own or manage.",0,0,"In Kentucky and Illinois, develop laws or regulations to protect the copperbelly water snake. The State of Indiana already protects the copperbelly as a state endangered species.",0,Put a high priority on copperbelly habitat when acquiring land or establishing leases and easements.,Strictly control scientific collection of copperbelly water snakes.,0,Provide law enforcement officers with training in protection of the copperbelly water snake and make enforcement of applicable regulations a high priority.,0,0,
Nerodia erythrogaster neglecta,COPPERBELLY WATER SNAKE,doc 1 website,"Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Western Kentucky Coal Association,",,N,G,https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag, ,,"Within 12 identified key habitat areas in Kentucky, minimize mining operations so that not more than 4 percent of the total acreage of these areas is mined, and not more than 10 percent of most individual habitat areas is affected by mining. These identified key habitat areas total about 112,400 acres",0,Encourage Kentucky Farm Bureau members to follow existing regulations for agricultural operations. Agricultural practices conducted under existing State and Federal statutes do not pose a threat to the copperbelly.,0,0,"In copperbelly habitat outside identified key areas in Kentucky, and in copperbelly habitat in Illinois, modify mining to minimize impact on larger tracts of habitat, maintain travel corridors for the snake, and use reclamation techniques on mined areas that enhance copperbelly habitat. Efforts will be made to provide habitat diversity, including creation or restoration of seasonal and permanent wetlands and buffer areas.",0,0,0,0,0,
Nerodia erythrogaster neglecta,COPPERBELLY WATER SNAKE,doc 1 website,Indiana Coal Council,,N,G,https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag, ,,0,0,0,0,0,"Avoid all mining in six key ""core"" copperbelly habitat areas totaling about 10,400 acres. In habitat outside core areas, modify mining to minimize impact on larger tracts of habitat, maintain travel corridors for the snake, and use reclamation techniques on mined areas that enhance copperbelly habitat. Efforts will be made to provide habitat diversity, including creation or restoration of seasonal and permanent wetlands and buffer areas.",0,0,0,0,0,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,"CPSD State Park, BLM",,??,M,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,current conservation areas maintenance and enforcement,0,0,0,0,0,0,0,0,0,0,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,B. Kinsely ,,??,P,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,habitat enhancement,Translocation and captive regugia protocol,0,0,0,0,0,0,0,0,0,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,"CPSD State Park, BLM, USFWS",,,M,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,Education ,0,Yes,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,"USFWS, BLM",,,M,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,0,0,Yes,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,USFWS,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,BLM,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,CPSD state park ,,,C,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,0,0,0,0,0,0,0,0,0,0,0,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,Kane County Commission,,,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,,,,,,,,,,,,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,doc 1 conservation agreement and strategy ,Utah Department of Parks and Recreation ,, ,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf, ,,,,,,,,,,,,,
Cymopterus deserticola,DESERT CYMOPTERUS,doc 1 Appendix B Chapter,Kern County ,Only took partners with relevant activities to this species,,G,https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf, ,,Establish the North Edwards Conservation Area / limit new ground disturbance to 1% and apply 5:1 mitigation within Conservation Area.,0,0,0,0,0,0,Require botanical surveys,0,0,0,
Cymopterus deserticola,DESERT CYMOPTERUS,doc 1 Appendix B Chapter,San Bernardino County,,,G,https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf, ,,0,"if the plant is located, avoid all occurrences to the maximum extent practicable within the Fremont–Kramer and Superior– Cronese DWMAs (regions of windblown sand on the east side of larger playas, including Harper Dry Lake, Superior Lake, and Cuddeback Lake) . (M-2)",0,0,0,0,0,Require botanical surveys,0,0,0,
Cymopterus deserticola,DESERT CYMOPTERUS,doc 1 Appendix B Chapter,BLM,,,G,https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf, ,,0,"Require land disturbing projects within identified suitable habitat to perform botanical surveys for this species, and if the plant is located, to avoid all occurrences to the maximum extant practicable.",0,0,0,0,0,"Require botanical surveys / Require land disturbing projects within identified suitable habitat to perform botanical surveys for this species, and if the plant is located, to avoid all occurrences to the maximum extant practicable.",0,0,0,
Cymopterus deserticola,DESERT CYMOPTERUS,doc 1 Appendix B Chapter,California City ,,,G,https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf, ,,0,"Require land disturbing projects within identified suitable habitat to perform botanical surveys for this species, and if the plant is located, to avoid all occurrences to the maximum extant practicable.",0,0,0,0,0,Require botanical surveys,0,0,0,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,Participating cooperators,,yes?,????,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf,doc 1 structured so have conservation for species and the partner respnsibiltites are entwined with the praire chicken ,Completing any in-kind conservation measures outlined in their CP or contribute funding towards conservation measures (based on Appendix C); and / ,"Allow no surface occupancy within 200 meters of areas designated as occupied or suitable, unoccupied dune complexes or within delineated shinnery oak corridors. These complexes will be determined by FWS, BLM, and NMDGF biologists or their designee within the known geographic range of the SDL. These areas will be determined at a landscape scale rather than a dune-by-dune scale and will also delineate corridors for movement between occupied and suitable dune complexes.", ,,,,"Remove caliche pads and roads on legacy wells where there is no responsible party. / Route and construct new roads, buried pipelines, and power lines outside of occupied and
suitable shinnery dune complexes as delineated by FWS and BLM. / Establish Plans of Development for enrolled properties /", ,,,"Submit a predetermined schedule for pipeline and facility maintenance to ensure proper functioning equipment in sensitive habitats to avoid potential accidental pollution events./ Allowing CEHMM, BLM, NMDGF, or FWS personnel to survey and monitor enrolled
properties for LPC and SDL populations, suitability of habitat, and effectiveness of
conservation measures. ",Funding table provided in appendix C - always some amount,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,Center of Excellence for Hazardous Materials Management (CEHMM),, ,S,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,Determining the conservation commitment and enrolling Participating Cooperators in accordance with this CCA via CPs,,,,,Meeting with Participating Cooperators to provide technical assistance if they plan to 28 implement (rather than contributing funds towards) conservation measures;, ,"Holding the CP for each enrolled property, with copies to all Parties (i.e., Participating Cooperator, FWS, and BLM).","Monitoring projects (using existing FWS, BLM, and NMDGF monitoring protocols) in order to determine success and adaptations needed",Conducting outreach and public education efforts to promote the conservation of both species,"Conducting compliance reviews of projects being implemented by Participating Cooperators / Annually leading a meeting with the FWS, BLM, NMDGF, and interested Participating Cooperators to review progress from the previous year, seek potential solutions for factors that are hampering conservation of LPCs/SDLs, and discuss actions that would benefit the LPC/SDL to be initiated in the upcoming year","Auditing, at CEHMM’s expense, by an independent party annually to account for expenditures and accomplishments; and",
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,USFWS,,,S,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,,,,,,,,,,,,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,"USFWS, BLM ",,,M,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,,,,,,Designing and prioritizing the conservation projects (or types of projects) to be completed, ,Evaluating monitoring data to determine if conservation measures are providing the desired conservation benefit to the LPC and SDL,,Fostering a conservation commitment with NMDGF for the conservation of these species; / Reviewing and approving CPs as submitted by CEHMM,,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,BLM,,,S,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,,,,,,,Completing environmental assessments and clearances for mitigation measures implemented on public land and,"Developing and maintaining a Geodatabase (database) that will track CCA and CCAA certificates. This database will allow the FWS, BLM, CEHMM, and other participating agencies to view and track information on a Geographic Information Systems (GIS).", ,,,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,New Mexico Department of Fish and Game,, ,X,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf,"Purpose of this CCA - support ongoing efforts, especially those of New Mexico Department of Game and Fish
(NMDGF) to establish/re-establish and maintain viable populations of both species in
occupied and suitable, but unoccupied habitats", ,,,,,,,,, ,,,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,"USFWS, BLM, New Mexico Department of Fish and Game",,,M,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,,,,,,"The FWS, BLM, and NMDGF will work cooperatively to determine which conservation measures are the highest priorities", ,"CEHMM, BLM, NMDGF, or FWS personnel to survey and monitor enrolled properties for LPC and SDL populations, suitability of habitat, and effectiveness of conservation measures", ,"Note - pulled from under CEHMM actions but pertains to these three organizations: ""Annually leading a meeting with the FWS, BLM, NMDGF, and interested Participating
Cooperators to review progress from the previous year, seek potential solutions for factors
that are hampering conservation of LPCs/SDLs, and discuss actions that would benefit the
LPC/SDL to be initiated in the upcoming year""",,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,Center of Excellence for Hazardous Materials Management (CEHMM),,Y,S,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,,,,,,,CEHMM will implement and administer the CCAA, ,,Enroll Participating Landowners in accordance with this CCAA via CIs.,find funding for projects that improve and maintain LPC and/or SDL habitat., 
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,USFWS,,Y,S,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,,,,,,,Issue an enhancement of survival permit to the CEHMM under section 10(a)(1)(A), ,,"Within 30 days of receipt of a completed Certificate of Inclusion from CEHMM, notify CEHMM of the FWS’s determination of whether or not the lands should be enrolled, by concurrence or non-concurrence on the Certificate of Inclusion, concerning the enrollment of the Participating Landowner. After 30 days, concurrence with the CI is granted.","If available, provide funding through PFW and assist in securing funding from other sources, as applicable, to improve LPC and/or SDL habitat on private lands within the Planning Area.", 
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,All parties,,Y,M,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,,,,,,,"The FWS provides the CEHMM and Participating Landowners the ESA regulatory assurances found at 50 CFR 17.32(d)(5). Consistent with the FWS’s Candidate Conservation Agreement with Assurances Final Policy (USFWS and NMFS 1999), conservation measures and land, water, or resource use restrictions, in addition to the measures and restrictions described in this CCAA, will not be imposed with respect to legal activities on Enrolled Lands should the LPC and/or SDL become listed under the ESA in the future. These assurances are authorized by the enhancement of survival permit issued under section 10(a)(1)(A) of the ESA for the Enrolled Lands identified in the CI. In the event of unforeseen circumstances, the FWS will not require the commitment of additional land, water, or other natural resources beyond the level otherwise agreed to for the species in this CCAA. The FWS may request additional conservation, but since it is voluntary on the part of CEHMM and Participating Landowners, consent of CEHMM and any affected Participating Landowners must be in writing. The permit, if issued, will authorize the incidental take of LPCs and/or SDL by Participating Landowners as long as such “take” is consistent with this CCAA.", ,,"In the event the Participating Landowner needs to sell the conservation lands prior to the end of the ""Duration of Conservation"" for these lands under this CCAA, they will notify the FWS at least 60 days in advance of the potential sale, and notify the prospective landowner of the existence of this CCAA (and/or have previously recorded the CCAA) in order for the potential new owner to decide whether to become party to this CCAA.","If funding was provided by through CEHMM under the CCA/CCAA to the Participating Landowner under this CCAA and the new landowner does not want to become party to this CCAA and requests transfer of the permit pursuant to 50 CFR 13.25(b), if issued; the Participating Landowner terminates his/her enrollment under this CCAA for other reasons; or the FWS suspends or revokes the permit, the current Participating Landowner shall reimburse the FWS a pro-rated amount, calculated as", 
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,Participating landowners,,Y,?,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,Adhere to stipulations on surface activities required by the BLM RMPA (May 2008) on oil and gas lease developments on enrolled lands at a minimum. d) Adhere to rangeland and grazing stipulations required by the BLM RMPA (May 2008) at a minimum for ranch operations.,"Improve or maintain conservation lands as suitable LPC and/or SDL habitat for the Duration of Conservation” in the CI. / Use herbicides for shinnery oak management only when habitat goals cannot be
achieved by other means, including grazing system management.", ,,,,"For livestock ranches, implement grazing management plans intended to move towards meeting specific habitat goals for the LPC and/or SDL as defined in the Collaborative Conservation Strategies for the Lesser Prairie-Chicken and Sand Dune Lizard in New Mexico (LPC/SDL Working Group 2005) on individual ranches. This may include adjustment of stocking rates, rest-rotation patterns, grazing intensity and duration, avoidance of nesting areas during nesting season, and contingency plans for varying prolonged weather patterns including drought / Install fence makers along fences that cross through occupied habitat within 2
miles of an active lek. ",Cooperate with CEHMM in completion of the CI [Certifiate of inclusion] (Appendix A).,,,"Allow CEHMM, FWS, and/or NMDGF personnel, with prior notification, to survey enrolled lands for the presence of LPCs and/or SDLs and for habitat suitability for these species",,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,"Vauge/Unspecified cooperators: NRCS, New Mexico Department of Fish and Game",,Y,????,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf,"Many agencies, institutions, and individuals are interested in participating in this effort. Many of these potential cooperators have expertise in these species, such as NMDGF, or in applying conservation practices, such as NRCS. Their participation, along with the participants in the Collaborative Conservation Strategies for the Lesser Prairie-Chicken and Sand Dune Lizard in New Mexico (LPC/SDL Working Group 2005) would be a benefit for developing conservation priorities and commitments on enrolled properties and evaluating the success of such practices. Therefore, their participation will go far towards ensuring the success of this CCAA.", ,,,,,,,,,,,,
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,??,,,M?,,,Technical assistance is available from the NRCS and FWS to develop plans to improve and maintain habitat for the LPC and/or SDL., ,,,,,,,,,,,
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,California Department of Fish and Wildlife,,,S,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf,"Set up as goals and actions. All parties seem to be responsible for the goals, but the objectives are organization specific and some goals only have objectives being done by one oganization", ,Operate the pine creek trap fish ladder to facilitate natural spawning migration,Implement artificial spawning practicies to provide highest level of genetic diversity possible, ,,,,,Monitor adult spawning migrations / Monitor genetic integrity of ELRT stream and lake populations and evaluate artificiatl spawning and hatchery rearing program / Monitor effectiveness of brook trout removal and ELRT reestablishment in Pine Creek / Monitor lake population for naturally spawned ELRT,,,,
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,USFS,,,S,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf, ,,Reduce impacts and restore Pine Creek stream habitat and channel from grazing / assess and restore natural hydrologic and stream function processes / Implement water conservatio measures to buffer impacts from drought, ,,,,,,,,,,
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,USFWS,,,S,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf, ,,,,,,,,,,,,,
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,"California Department of Fish and Wildlife, USFS",,,M,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf, ,,remove brook trout form the Pine Creek watershed / Identify and remove any existing potential barriers to migration,reestablish stream population of ELRT, ,,,,,Watershed assessments and monitoring,,,,
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,"California Department of Fish and Wildlife, USFS, USFWS",,,M,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf, ,,,,Expand educcation efforts to increase public awareness about ELRT and the unique ecology of Egal Lake / Increase public outreach and engagement in the conservation of ELRT, ,,,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,Anza-Borrego Desert State Park (ABDSP) ,,,?,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf, ,,,,,,,Designate Borrego Badlands Management area,,,,,,
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,doc 1 ,Arizona Game and Fish Department,,,S,https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf,"See appendix 1, page 83 - seems like there are sub categories of involved parties and management groups… but spelt out explicitly in doc.. Anyway need to categorize and make sure explictly saying why doing so (based on different parts of doc)",,,,,,,,,,,,,
